"id","titulo","texto","data","fonte","url"
"60","Documento 60","Os canais de Santos hoje possuem mais de cem anos de idade, são uma marca característica da cidade. Foram construídos por Saturnino de Brito para drenar os terrenos alagadiços da planície santista e conduzir as águas pluviais, que eram focos constantes de doenças nos verões quentes da cidade, ao mar. O sistema combinou planejamento urbano (arruamento das zonas atravessadas pelos canais) e separação estrita entre redes de águas pluviais e rede de esgotos. Os canais são numerados sequencialmente e servem como pontos de referência, muito mais do que os bairros ou vias. Entretanto, com a elevação gradativa do nível do mar, foi criado o Projeto Metrópole, financiado pela FAPESP, para pesquisar soluções que previnam as consequências de futuras tempestades e ressacas, pois se observou a ocorrência de erosões na região da orla e enchentes principalmente na região da zona noroeste da cidade. Nesse sentido, com estudos por meio de sistema de georreferenciamento, executa projetos e início de obras de macrodrenagem.","","Corpus da Disciplina",""
"61","Documento 61","Pelo seu caráter litorâneo e pelo fato de ter sido construída em parte sobre antigos terrenos de manguezais, a cidade de Santos tem um perfil de solos dos mais difíceis no país para a construção de fundações. Por este motivo, uma série de edifícios foram erigidos ao longo do século XX (especialmente a partir da década de 1960) com fundações executadas a partir de equívocos de sondagem ou de projeto. A especulação imobiliária surgida com a explosão do veraneio em Santos foi a responsável por tais erros, já que os edifícios eram construídos rapidamente para abrigar muitos veranistas. Com o tempo, tais edifícios passaram a sofrer acentuados recalques diferenciais: tornam-se ""tortos"" (ou seja, perdem o prumo) aos olhos dos pedestres situados na praia. Recentemente os ""prédios tortos"" da orla de Santos estão virando atração turística: são cerca de 90 prédios com esta característica. Estão concentrados na orla do Boqueirão, Embaré e Aparecida. O reaprumo ou a implosão e reconstrução são soluções possíveis. A primeira opção, menos impactante que a segunda, já foi executada com sucesso no edifício que era considerado o mais inclinado da orla (o denominado 'Núncio Malzoni', no bairro do Boqueirão), o qual tinha mais de 2 metros de inclinação do topo em relação à base.","","Corpus da Disciplina",""
"62","Documento 62","Santos faz parte da rede mundial de municípios que priorizam a educação, desde 30 de outubro de 2008, quando a cidade foi incluída oficialmente na Associação Internacional das Cidades Educadoras (AICE). Entre as instituições de ensino superior encontra-se a Universidade de São Paulo campus USP Mar, a Universidade Federal de São Paulo (UNIFESP), a Universidade Santa Cecília (UNISANTA), a Faculdade de Ciências Médicas de Santos, a Universidade Metropolitana de Santos (UNIMES), a Universidade Católica de Santos (UNISANTOS), a Universidade Paulista (UNIP), a Escola Superior de Administração, Marketing e Comunicação (ESAMC), o Centro Universitário São Judas Tadeu (UNIMONTE) e a Faculdade de Tecnologia do Estado de São Paulo Rubens Lara (FATECRL). Santos também dispõe da mais antiga entidade geral estudantil do Brasil, o Centro dos Estudantes de Santos, fundado em 1932.","","Corpus da Disciplina",""
"63","Documento 63","Em 27 de dezembro de 2003 foi inaugurada a ciclovia na orla da praia de Santos e atualmente cobre toda a área com mais de 7,8 km de extensão e 2,5 metros de largura desde a divisa com São Vicente à Ponta da Praia, possibilitando ainda ligação com a ciclovia da avenida Portuária e o Ferry Boat, ponto de atracação das balsas que fazem a Travessia Santos-Guarujá. A cidade é favorecida pela predominância de ruas planas sem ladeiras e, tendo em vista a alta densidade de veículos automotores competir com a fluidez de tráfego e regiões verticalizadas, implantou ciclovias nas avenidas Francisco Glicério, Afonso Pena, Rangel Pestana, Ana Costa, Martins Fontes e Nossa Senhora de Fátima; na extensão dos canais 1 a 6; a que liga o centro aos bairros passando pelo Túnel Rubens Ferreira Martins; e na Ponta da Praia. Foram implantados, ainda, vários bicicletários pela cidade que funcionam como estação para um serviço municipal de aluguel de bicicletas operados pela empresa Samba.","","Corpus da Disciplina",""
"64","Documento 64","A cidade de Santos possui seis sistemas de travessia do estuário para o Guarujá. No bairro da Ponta da Praia existe a travessia para pedestres através de lanchas e barcas e de automóveis por meio de balsas da Travessia Santos-Guarujá, todos para o bairro de Jardim São José (Praça das Nações Unidas) no município vizinho. O primeiro sistema é administrado por uma cooperativa e os dois últimos pela DERSA (Desenvolvimento Rodoviário S.A.). A travessia que possui o maior fluxo de veículos do mundo nessa categoria, com a quantia de aproximadamente 23 mil veículos ao dia.","","Corpus da Disciplina",""
"65","Documento 65","O município de Santos é servido basicamente por três rodovias. O principal acesso é a Via Anchieta (SP-150 ou BR-050), proveniente de São Paulo, a única a atingir a área insular, e que recebe o tráfego proveniente das rodovias dos Imigrantes, Padre Manuel da Nóbrega, Rio-Santos e Cônego Domênico Rangoni (Piaçaguera-Guarujá). Na área continental, a cidade também é cortada pela Rodovia Rio-Santos (SP-55 ou BR-101), proveniente do Rio de Janeiro, e principal acesso a bairros afastados como o do Caruara. Na região do Monte Cabrão, esta rodovia desemboca na Cônego Domênico Rangoni (continuação da SP-55 ou BR-101), cortando a região do Quilombo e terminando na Via Anchieta já em Cubatão, por onde se tem acesso à área insular.","","Corpus da Disciplina",""
"66","Documento 66","O transporte por meio de ônibus é muito utilizado em Santos, sendo quase que totalmente operado por veículos a diesel. Atualmente, Santos é umas das poucas cidades brasileiras junto com São Paulo e a região do ABC que possuem um sistema de trólebus.","","Corpus da Disciplina",""
"67","Documento 67","Projetos diversos foram apresentados como alternativas para o deslocamento de milhares de pessoas, que vão desde ponte até um túnel que faria a ligação do município até Guarujá de forma submersa como ligação seca e outro túnel entre a Zona Leste e a Zona Noroeste, todos contando com ciclovia em seus projetos, além de teleférico que auxiliaria com rápido deslocamento de centenas de usuários pelos morros da cidade. Em 2020 houve a inauguração de viadutos, sendo o principal elevado no bairro Saboó batizado com o nome do ex-prefeito Paulo Gomes Barbosa, com destaque luminoso em faixa de cores interativas. Também foi inaugurada ligação entre os bairros São Manoel e Bom Retiro com uma nova avenida se chamará Beira Rio, às margens do Rio São Jorge como outro importante acesso à cidade via Zona Noroeste.","","Corpus da Disciplina",""
"68","Documento 68","O sistema funicular do Monte Serrat foi planejado em 1910 e construído em 1923 e liga o centro da cidade ao alto do Monte Serrat Ver trajeto no Google Maps, onde está um grande cassino inaugurado em 1927 (fechado devido à criação da lei que proíbe jogos de azar no Brasil, em 1946) e a Capela de Nossa Senhora do Monte Serrat, padroeira da cidade. Possui dois bondinhos, que operam sempre simultaneamente: enquanto um sobe, o outro desce, e os dois se encontram exatamente na metade do percurso, onde há um desvio.","","Corpus da Disciplina",""
"69","Documento 69","Santos foi a segunda cidade do país a ter um serviço de bondes (após o Rio de Janeiro). A primeira linha foi inaugurada em 1871, um ano antes de os bondes serem inaugurados na cidade de São Paulo. Em 1909, foi inaugurado o serviço eletrificado, que até então era feito por tração animal ou vapor. O serviço foi desativado em 1971, quando os bondes saíram de circulação por diversos motivos, entre os quais a maior procura pelos ônibus por parte do público. Em 2000, foi inaugurado o bonde turístico do centro histórico, que sai da Praça Mauá, em frente ao Paço Municipal. A linha turística conta com dois bondes que circularam no centro da cidade de Santos e um bonde doado pela cidade do Porto, em Portugal e reformado nas oficinas de Santos.","","Corpus da Disciplina",""
"70","Documento 70","A cidade possui dois acessos ferroviários que eram utilizados apenas para o transporte de cargas. O primeiro, oriundo da extinta ""The São Paulo Railway"", construído em 1867 para transportar café, sendo posteriormente a Estrada de Ferro Santos a Jundiaí (1947-1975) e sucedida à Rede Ferroviária Federal (1975-1996), é operado atualmente pela MRS Logística e atinge a cidade proveniente de São Paulo e do ABC Paulista pela região noroeste, passando até Cubatão por meio de transporte com trens elétricos em alta velocidade, que vence o desnível de sua origem e destino por meio de linha férrea com cremalheira em poucos minutos, sendo posteriormente despachado para o bairro do Valongo.","","Corpus da Disciplina",""
"71","Documento 71","O outro acesso ferroviário originou-se da extinta Estrada de Ferro Sorocabana (1927-1971) e sua sucessora, FEPASA (1971-1998), sendo posteriormente operado pela concessionária Ferroban. É proveniente do município de Mairinque na região de Sorocaba e chega a Santos pelo bairro do José Menino (sudoeste da área insular). A linha cruza em nível praticamente toda a cidade de oeste a leste até atingir a região portuária no bairro do Macuco. Em face a maior demanda de deslocamento de pessoas, bem como o aumento da frota de veículos, foi desativado para transporte de cargas e entregue em janeiro de 2017 como um sistema metropolitano de transporte de passageiros conhecido por Veículo Leve sobre Trilhos operado pelo consórcio BR Mobilidade a partir do bairro de Barreiros em São Vicente, com uma futura extensão aguardando obras até o bairro do Valongo.","","Corpus da Disciplina",""
"72","Documento 72","O sistema de telefones automáticos foi inaugurado na cidade pela Companhia Telefônica Brasileira (CTB) em 1934, sendo a 4ª cidade do estado a receber esse melhoramento, e que construiu as primeiras centrais telefônicas da cidade (Rua Brás Cubas, Rua Tocantins e Av. Washington Luís), com as duas primeiras já desativadas há algumas décadas. Já o sistema de discagem direta à distância (DDD) foi implantado em 1973 pela Telecomunicações de São Paulo (TELESP), com o código de área (0132). Na década de 90 o código DDD da cidade foi alterado para (013), para padronização do sistema telefônico com a telefonia celular que estava sendo implantada em todo o estado. O serviço telefônico móvel, por telefone celular, é oferecido por diversas operadoras. O código de área (DDD) de Santos é 013 e o Código de Endereçamento Postal (CEP) da cidade vai de 11000-001 a 11249-999. Ainda há serviços de internet como serviços de banda larga (ADSL) ou fibra ótica, sendo oferecidos pelas principais empresas provedoras de acesso.","","Corpus da Disciplina",""
"73","Documento 73","Santos possui vários museus, entre eles o Museu do Café Brasileiro onde funcionava a Bolsa do Café até a década de 1970. Outros museus da cidade são o Museu de Arte Sacra de Santos, o Museu de Pesca de Santos, o Museu De Vaney, o Museu Oceanográfico, o Memorial das Conquistas, o Museu Pelé, o Museu do Porto e o Museu do Mar.","","Corpus da Disciplina",""
"74","Documento 74","A cidade de Santos possui 3 jornais diários, 4 emissoras de televisão comerciais e 10 emissoras de rádio, sendo 4 em FM e 6 em AM. A tradição cinematográfica pela qual a cidade se especializou foi a de curtas metragens, abrigando grandes e importantes festivais da área. Quanto às produções cinematográficas de Santos, podemos citar as de diretores como Chico Botelho (cuja morte não o deixou concluir os longas Janete e Cidade Oculta), Icaro Martins, José Roberto Eliezer, Tânia Savietto, Aloysio Raulino, José Roberto Torero, Renato Neiva Moreira, Hélcio Nagamine, entre outros. Quanto às produções recentes com maior repercussão na cidade podemos citar O Magnata (2007), escrito pelo Chorão da banda Charlie Brown Jr., e Querô (2007), que promoveu testes de jovens atores pela cidade e que legou consequências que refletem até hoje.","","Corpus da Disciplina",""
"75","Documento 75","Santos também foi muito utilizada pela televisão em minisséries como Um Só Coração, produzida pela Rede Globo de Televisão, que teve 80% de suas cenas gravadas no centro histórico de Santos em outubro de 2003, para apresentação em rede nacional em janeiro de 2004. De fato, a revitalização do Centro Histórico da cidade, a começar por sua iluminação e asfalto, possibilitou a gravação de muitas cenas televisivas que exigiam figurinos e enredos de época. No caso de Um Só Coração, o objetivo era retratar a década de 1920 e como tal foram utilizadas locações como a Rua XV de Novembro e o interior da Bolsa Oficial do Café. Entre os atores que gravaram no centro da cidade estão Ana Paula Arósio, Tarcísio Meira, Letícia Sabatella, Ângelo Antônio, Herson Capri, Erik Marmo, Maria Fernanda Cândido, Marcello Antony, sem contar os figurantes da própria cidade. Além de minisséries, a telenovela de 1977 Éramos Seis, escrita por Silvio de Abreu, na Tupi, também teve algumas cenas rodadas na praia, no bonde e nos jardins do Orquidário encenadas por Nicette Bruno, Riccelli, e Strazzer.","","Corpus da Disciplina",""
"76","Documento 76","A cidade possui nomes de renome no cenário musical brasileiro, como a banda Charlie Brown Jr.. Santos também é considerada celeiro de bons bateristas e berço de bandas de rock como Balara, Garage Fuzz, Bula e Zimbra. Dentre os músicos nascidos na cidade estão artistas como Leny Eversong, Gilberto Mendes, Haroldo Lara, Almeida Prado, Renato Teixeira e Tulipa Ruiz.","","Corpus da Disciplina",""
"77","Documento 77","A dança também é muito renomada na cidade de Santos. Ela é sede de alguns festivais renomados de dança como o Fidifest, o Fesadan e o Santos Dance Festival. Algumas escolas renomadas são a Balé Jovem de São Vicente e a Escola de Bailado de Santos. Esse último é especializado em ""ballet adulto"" e a única escola da cidade de Santos que oferece a modalidade ""Dança Contemporânea de Salão.""","","Corpus da Disciplina",""
"78","Documento 78","Desde 1962 abriga o Festival Música Nova ""Gilberto Mendes"" é um evento internacional e anual de música contemporânea idealizado por Gilberto Mendes (Santos, 1922-2016).","","Corpus da Disciplina",""
"79","Documento 79","Santos é uma cidade relativamente cinematográfica. Zé do Periquito (1960), de Mazzaropi, possui algumas cenas de entrada e saída de navio da Ponta da Praia. Estas cenas foram as primeiras filmagens vistas pelo crítico santista Rubens Ewald Filho, aos quinze anos, e que ele tentou retomar num ângulo parecido no seu primeiro e único curta-metragem intitulado José Bonifácio que Ninguém Conhece, hoje perdido nos ""meandros"" da produtora Faculdade de Comunicação da Católica. Antes e depois do filme de Mazzaropi, Santos já havia sido e continuou sendo palco cinematográfico. Outros exemplos notórios inclui a versão original com Vera Nunes de Presença de Anita (1951), de Ruggero Jacobbi, Asa Branca - Um Sonho Brasileiro (1981), de Djalma Batista, com Walmor Chagas e Edson Celulari numa sequência no Gonzaga na fonte luminosa, O Rei Pelé, de Carlos H. Christensen, na cena em que o garoto que interpreta Pelé vê o mar pela primeira vez ao lado de Lima Duarte, o curta Domingo no Parque, de Isaías Almada, que logo depois da música homônima de Gilberto Gil utilizou uma roda-gigante que existia no Itararé.","","Corpus da Disciplina",""
"80","Documento 80","Outros filmes inclui o único filme do galã Hélio Souto, com Norma Bengell, onde há uma passada na ilha Porchat em 1960, um certo Leg da década de 1960 e que várias figuras da sociedade participaram sem saberem que o diretor era um vigarista de Portugal, A Flor do Desejo de Guilherme de Almeida Prado, onde Sandra Bréa foi substituída por Imara Reis (que acabou recebendo ótimas críticas), Bellini e a Esfinge (2001), de Roberto Santucci, filme alemão com Erika Remberg rodado no cais da cidade, além do filme policial A Mulher do Quarto 13 (1932) com Brian Donlevy e Andréa Bayard.","","Corpus da Disciplina",""
"81","Documento 81","Santos também possui uma tradição na exibição de filmes. Durante muitas décadas possuiu diversos edifícios cujo principal foco era o cinema e, embora tenha modernamente perdido muitas salas, nenhuma cidade de seu tamanho tivera um número tão grande de alternativas em assistir desde cinema-lançamentos até filmes b, desenhos animados e tchecos, russos, italianos. A cidade também desenvolveu um projeto que funcionou durante muitas décadas, o Clube de Cinema, o primeiro do país, e acompanhou toda a criatividade do cinema exterior e nacional.","","Corpus da Disciplina",""
"82","Documento 82","Santos tem sido uma fonte de inspiração para muitos autores, conterrâneos ou estrangeiros, e possui uma longa tradição de publicação poética importante na literatura brasileira.","","Corpus da Disciplina",""
"83","Documento 83","Talvez dois dos seus mais famosos poetas sejam Vicente de Carvalho e Martins Fontes. O primeiro, embora tenha se dedicado a um complexo de atividades, é mais conhecido por ter sido chamado de ""O Poeta do Mar"" dada à sua dedicação a escrever poemas dedicados à praia de Santos, e foi membro da Academia Brasileira de Letras, deixando uma prolífica obra literária e jurídica. Sua magnum opus, Poemas e Canções (cujo prefácio foi escrito por Euclides da Cunha), publicada primeiramente em 1908, chegou modernamente à sua 17ª edição - fato raro na literatura nacional.","","Corpus da Disciplina",""
"84","Documento 84","Carvalho apoiou-se numa tradição lírica que nos remete a Victor Hugo e foi um grande divulgador da cidade como advogado e jurista, e hoje sua importância é refletida num dos nomes de uma das ruas da cidade. Martins Fontes, por sua vez, é mais conhecido por seus sonetos parnasianos, embora também tenha se tornado popular como médico da Santa Casa. Foi um grande colaborador dos ideais e das ambições de seu tempo; seu túmulo no Cemitério do Paquetá é um dos mais visitados na cidade e sua morte foi muito noticiada.","","Corpus da Disciplina",""
"85","Documento 85","Provavelmente Santos seja a cidade do interior paulista mais profundamente ligada ao movimento teatral. O teatro em Santos se desenvolve e se desenvolveu dentro dos principais locais para a arte dramática: Teatro Municipal Brás Cubas, Teatro de Arena Rosinha Mastrângelo, Teatro do SESC, Teatro do SESI e, curiosamente, nas praças públicas.","","Corpus da Disciplina",""
"86","Documento 86","Patrícia Galvão, mais conhecida como Pagu, foi a primeira presidente da União de Teatro Amador de Santos que no ano de 1958 iniciou a organização do movimento na cidade.  Pagu foi uma grande pioneira do teatro na cidade; escrevendo para o A Tribuna, conseguiu patrocínios e realizou os primeiros festivais de teatro de Santos. Os festivais continuaram suas atividades pela Federação Santista de Teatro Amador com o nome FESTA - Festival Santista de Teatro Amador. A partir de 2009 a Federação Santista de Teatro Amador já estava extinta mas o festival continuou com o mesmo nome FESTA, porém agora como Festival Santista de Teatro, abolindo a palavra ""Amador"" e tornando-se um festival nacional de teatro. Hoje o FESTA - Festival Santista de Teatro é o festival em atividade mais antigo do Brasil, recebendo a Ordem do Mérito Cultural 2011 pelo Ministério da Cultura. O festival continua sendo realizado e produzido pelo Movimento Teatral de Santos, formado por diversos grupos da cidade, tendo como seu representante jurídico a Associação dos Artistas do Litoral Paulista. Alguns grupos da cidade se destacam como Trupe Olho da Rua, Os Pernilongos Insolentes, Teatro Widia,  Cia Own, Os Phantanas. Pagu era conhecida como a ""musa"" da Semana de Arte Moderna e escolheu Santos como a última cidade em que viveu. Estreitou relações com José Greghi Filho (ator e dramaturgo santista) e promoveu a campanha para a construção do Teatro Municipal que hoje leva seu nome.","","Corpus da Disciplina",""
"87","Documento 87","Plínio Marcos e Carlos Alberto Soffredini são dois dos mais conhecidos e aclamados dramaturgos da cidade. Marcos iniciou sua carreira na companhia de Cacilda Becker e Walmor Chagas no início da década de 1960 e escreveu peças como Navalha na Carne e Dois Perdidos Numa Noite Suja que soaram de cunho sociopsicológico e foram proibidas na época. Plínio prosseguiu sua carreira também como ator e na década de 1970 trabalhou ao lado de Gianfrancesco Guarnieri, Oduvaldo Viana Filho, Jorge Andrade, Nelson Rodrigues e Abílio Pereira de Almeida. Nesta época, surgia outro dramaturgo na cidade, Soffredini, autor de Mais Quero Asno que Me Carregue, e que ao lado de Marcos figura como um autor expoente do moderno teatro do Brasil. No teatro infantil da cidade, destaca-se Oscar Von Pfhul, cunhado de Paulo Autran, e que possui projeção internacional.","","Corpus da Disciplina",""
"88","Documento 88","Muitos outros nomes famosos surgiram do teatro santista; entre estes nomes destaca-se os de Serafim Gonzalez, Paulo Lara, Tanah Corrêa, Sérgio Mamberti, Cláudio Mamberti, Bete Mendes, Jandira Martini, Wilson Geraldo, Ney Latorraca, Nuno Leal Maia, Alexandre Borges, Oscar Magrini, Paulo Vilhena, etc.","","Corpus da Disciplina",""
"89","Documento 89","O esporte em Santos talvez seja um dos temas de maior projeção da cidade. Possui uma grande tradição nos mais variados esportes com constante auxílio de projetos sociais e educacionais. A começar pelo mar, temos o surfe santista que, apesar das ondas calmas da praia, possui um papel particular na história do surfe brasileiro e mundial: foi em Santos que o esporte começou a se desenvolver no país. Desde a década de 1930, os surfistas utilizavam pranchas de madeira oca e surfavam na praia do Gonzaga. A carreira dos pioneiros da modalidade no Brasil, os irmãos Thomas Rittscher Júnior e Margot Rittscher, está exclusivamente ligada a Santos e aos nomes de santistas como Osmar Gonçalves e João Roberto Suplicy Hafers, que formam, juntos, o que o jornalismo de hoje diz ser os primeiros surfistas do Brasil. Mais tarde, o surfe santista foi aprimorado e melhor divulgado por parte de escolas (como a Escolinha Radical, no Posto 2, liderado pelo primeiro surfista profissional brasileiro, Cisco Aranha) e de universidades, revelando nomes como Picuruta Salazar, que tornou-se o ""maior"" símbolo do esporte na cidade, e Renata Agondi, pessoas que renderam influência à posterioridade. Picuruta, além de criar escolinhas para crianças, também desenvolve projetos paralelos em lugares como o Havaí, oportunidade pela qual jovens talentos da cidade podem assumir responsabilidades internacionais.","","Corpus da Disciplina",""
"90","Documento 90","No futebol, a cidade foi palco de grandes jogadores, desde Araken Patuska por volta dos anos 20, passando por Pelé nos anos 60 até Neymar entre os anos de 2009 e 2012. A cidade é sede de três clubes, sendo o de maior destaque o Santos Futebol Clube, que é reconhecido internacionalmente, possuindo entre suas principais conquistas três Copas Libertadores da América e dois títulos Mundiais Interclubes, além de oito títulos de Campeão Brasileiro. Joga no Estádio Urbano Caldeira, mais conhecido como ""Vila Belmiro"". Os outros dois clubes são a Associação Atlética Portuguesa (conhecida popularmente como Portuguesa Santista), que joga no Estádio Ulrico Mursa, e o Jabaquara Atlético Clube que joga no Estádio Espanha. Esses três clubes realizam os clássicos do futebol de Santos quando se confrontam. Também está localizado em Santos o Estádio Municipal Paulo César de Araújo (Estádio Pagão), que se encontra na Zona Noroeste da cidade. Um quarto time de futebol, o Litoral Futebol Clube, chegou a existir em Santos, mas encerrou suas atividades em 2008.","","Corpus da Disciplina",""
"91","Documento 91","Outro esporte da cidade é o Iatismo (ou vela), praticada no Clube Internacional de Regatas e que tem como destaque a flotilha da Classe Snipe. Além de diversos eventos de snipe, a cidade também é sede de etapas do Campeonato Paulista de Vela Oceânica e é largada da tradicional regata oceânica Santos-Rio. Santos também conta com um polo do projeto ""Navega São Paulo"" que ensina esportes náuticas às escolas públicas, entre eles a vela. O Tamboréu, por sua vez, é um esporte que nasceu em Santos e hoje é bastante praticado em toda a Baixada Santista. O jogo parecido com o tênis no que diz respeito às regras, é jogado com ""raquetes"" com o formato de um pandeiro (o tamboréu). A rede possui um metro de altura.","","Corpus da Disciplina",""
"92","Documento 92","26 de janeiro, aniversário da cidade;","","Corpus da Disciplina",""
"93","Documento 93","8 de setembro, padroeira da cidade Nossa Senhora do Monte Serrat.","","Corpus da Disciplina",""
"94","Documento 94","Estrada de Ferro Santos-Jundiaí","","Corpus da Disciplina",""
"95","Documento 95","Complexo Metropolitano Expandido","","Corpus da Disciplina",""
"96","Documento 96","São Vicente, oficialmente Estância Balneária de São Vicente, é um município brasileiro do estado de São Paulo e primeira cidade do Brasil. Pertencente à Região Metropolitana da Baixada Santista, sua população, no censo de 2022, era de 329 911 habitantes, sendo a terceira cidade mais populosa do litoral paulista, atrás apenas de Santos e Praia Grande. Sua área territorial é de 148,151 km², o que lhe confere uma densidade demográfica de 2 226,86 habitantes por km².","","Corpus da Disciplina",""
"97","Documento 97","São Vicente marca o início efetivo da colonização no Brasil e torna-se o primeiro núcleo institucionalizado em todo o território brasileiro, estando entre as cidades mais antigas continuadamente habitadas do continente americano. Fundada em 1532 pelo militar e administrador colonial português Martim Afonso de Sousa, na Capitania de São Vicente, a criação da vila atendeu às ordens do Rei Dom João III de Portugal. A ilha onde a cidade se estabeleceu havia sido descoberta anteriormente, em 1502, durante a expedição de Gaspar de Lemos e Américo Vespúcio, que a batizaram em homenagem a São Vicente Mártir, tornando-a a primeira vila da América Portuguesa. Em 22 de agosto de 1532, realizou-se ali a primeira eleição do continente americano, na qual foram escolhidos os primeiros oficiais da Câmara, função atualmente equivalente ao cargo de vereador. Por todos esses marcos históricos, São Vicente é reconhecida como o ""berço da colonização portuguesa"" e também como o ""berço da democracia americana"", tendo, inclusive, servido de inspiração para modelos democráticos posteriores, como o dos Estados Unidos.","","Corpus da Disciplina",""
"98","Documento 98","Com um PIB de mais de 6 bilhões de reais, sua economia é baseada nos serviços, comércio e no turismo, com boa infraestrutura hoteleira e gastronômica. Segundo o Índice de Cidades Empreendedoras (ICE) de 2023, São Vicente é uma das melhores cidades para empreender no Brasil. Parte do município se estende pelo continente, em duas porções distintas: o bairro de Japuí, ligado à cidade por uma ponte construída em 1914 pelo engenheiro Saturnino de Brito no caminho que ruma à Praia Grande, e o distrito de Samaritá, que inclui também os bairros do Humaitá, Parque Continental, Parque das Bandeiras, Jardim Rio Branco, Samaritá, Vila Nova São Vicente, Vila Ema e o Quarentenário, situados ao longo da Rodovia Padre Manoel da Nóbrega, entre Cubatão, Praia Grande e os contrafortes da Serra do Mar, estendendo-se até a Terra Indígena Rio Branco, na divisa com os municípios de Itanhaém e São Paulo.","","Corpus da Disciplina",""
"99","Documento 99","São Vicente preserva diversos sítios e edifícios históricos construídos desde o século XVI, os quais testemunham o processo de ocupação e desenvolvimento do país. Entre eles, destaca-se a Casa de Taipa, a primeira casa do Brasil, construída entre 1516 e 1520; o Parque Cultural Vila São Vicente, onde há apresentações no Teatro José Anchieta, espaço para apresentações artísticas e oficinas culturais que homenageia o jesuíta José de Anchieta, pioneiro da dramaturgia brasileira; a Igreja Matriz de São Vicente Mártir, no local onde havia sido construída a primeira igreja matriz do Brasil; o Engenho dos Erasmos, que marca o início da cultura canavieira nacional, a qual se iniciou na Capitania de São Vicente, a Biquinha de Anchieta, a Ponte Pênsil e a Encenação da fundação da Vila de São Vicente, considerada pelo Guinness World Records o ""maior espetáculo teatral realizado em areia de praia do mundo"". Abriga o São Vicente Atlético Clube. Devido à sua importância histórica, política e cultural, além de suas belezas naturais e praias, cultura e culinária caiçara, é um importante destino turístico do Brasil, sendo procurada, em especial, nos setores do turismo histórico, cultural, arquitetônico, ecoturismo e o turismo de sol e praia. Anualmente, recebe mais de 2 milhões de turistas e é reconhecida como uma Estância Balneária.","","Corpus da Disciplina",""
"100","Documento 100","A Ilha de São Vicente originalmente era denominada Gohayó e teve como primeiros habitantes os indígenas tapuias, expulsos para o interior por volta do ano 1000 pelos tupis, que conquistaram a região.","","Corpus da Disciplina",""
"101","Documento 101","A Ilha de Gohayó foi descoberta em 22 de janeiro de 1502, pela expedição portuguesa comandada por Gaspar de Lemos e Américo Vespúcio, e, por ser o dia do santo mártir Vicente de Saragoça, foi batizada como Ilha de São Vicente.","","Corpus da Disciplina",""
"102","Documento 102","Nas primeiras décadas do século XVI, existiu, onde hoje é o centro de São Vicente, um povoado, fundado pelo enigmático Bacharel de Cananeia, um degredado português que se fixou no litoral de São Paulo provavelmente entre 1498 e 1502. Em 1526, essa povoação descrita como sendo ""de dez ou doze casas, uma feita de pedra com seus telhados e uma torre para defesa contra os índios no tempo de necessidade. Estão providos de coisas da terra, de galinhas de Espanha e de porcos, com muita abundância de hortaliças"". Dessa forma, o Bacharel de Cananeia pode ser considerado o verdadeiro fundador de São Vicente.","","Corpus da Disciplina",""
"103","Documento 103","Entre 1530 e 1532, a expedição liderada pelo fidalgo português Martim Afonso de Sousa explorou a costa brasileira. No dia 22 de janeiro de 1532, Martim Afonso e um grupo de colonos portugueses desembarcaram na Ilha de São Vicente e o fidalgo ordenou ali a construção de casas, igreja, pelourinho, fortim, estaleiro e edifícios de órgãos administrativos, assim fundando a vila de São Vicente, sob oposição dos indígenas locais. Em 22 de agosto de 1532, ocorreram as primeiras eleições do continente americano, para escolher os membros da Câmara Municipal de São Vicente, motivo pelo qual a cidade é conhecida como o berço da democracia nas Américas.","","Corpus da Disciplina",""
"104","Documento 104","""Sustentou, por espaço de três anos, contínuas guerras com os bárbaros índios carijós, guaianases e tamoios, que os conquistou apesar da oposição que neles achou, sendo-lhe necessário valer de todo o seu esforço contra a contumácia com que lhe resistiu; porque, na posse da liberdade natural, reputavam em menos as vidas que a sujeição do poder estranho; mas, vencidos em vários encontros, cedeu a rebeldia para que, com maior merecimento e glória, fundasse Martim Afonso a vila de S. Vicente"".","","Corpus da Disciplina",""
"105","Documento 105","Martim Afonso também introduziu a cultura canavieira na região de São Vicente, mas ela durou pouco tempo, devido às condições geográficas desfavoráveis. As primeiras cabeças de gado a chegarem ao Brasil vieram do arquipélago de Cabo Verde, em 1534, para a capitania de São Vicente.","","Corpus da Disciplina",""
"106","Documento 106","No início da colonização portuguesa, o Padre José de Anchieta contribuiu na catequização dos índios e na harmonização do povoado através do colégio vicentino. Ele ministrou suas aulas de catecismo junto à denominada ""Bica da Fonte do Povoado"", que, atualmente, é fonte histórica denominada afetivamente como ""Biquinha"".","","Corpus da Disciplina",""
